"Column1","_1","Name","Comment","Rating"
"42","","pierre_lrm","Gracias Reynoso por hundirnos cada vez más 😒","Negativo"
"43","","intensiva_terapia_energetica","Ya sabemos","Neutro"
"44","","lujavi.lopez","Hasta RPP no olvida a Ricardo Gareca 😢😂","Neutro"
"45","","mikethaeboxefit","Que novedad como si la gente no supiera o es sarcasmo de rpp?","Neutro"
"46","","0220seb","Gracias a Gareca estábamos entre los 20 ahora con Reynoso, espero equivocarme estaremos puesto 37","Neutro"
"47","","jcesareduardo","EL FUTBOL, EL GOBIERNO, EN GENERAL TODO EL PAIS, SE VIENE ABAJO, AHORA SI SEREMOS IGUAL O HASTA PEOR Q VENEZUELA","Negativo"
"48","","wazabiando","Igual somos 5tos ,la cosa es ser puesto 84"" como Bolivia","Negativo"
"49","","r4zta_md","Que esperaban?? q suba?? 😂😂😂😂🤣🤣","Neutro"
"50","","antonioramos0806","Dirigido por Ricardo Gareca ?","Neutro"
"51","","gambererosports","Gracias Reynoso , por hacer retroceder el fútbol peruano 👏👏👏👏👏👏","Positivo"
"52","","p.manuel.9","Y lamentablemente vamos a seguir cayendo. Nos toca con Bolivia en la paz y nunca hemos ganado de visita ahí. Esta vez, con toda esta racha, lo mas seguro es que tampoco llo hagamos","Negativo"
"53","","the_voice_al","Con Reynoso volveremos al puesto 67 tmr 😢","Negativo"
"54","","jordelaf","Y seguiremos cayendo si insistimos con Reynoso, Guerrero, Carrillo y Yotun","Negativo"
"55","","donguille2013","La ERA REYNOSO recién empieza 😢😢😢😢","Neutro"
"56","","inaki_olarra_a74","Si sigue Reynoso seguirá cayendo más . Tranquilos","Negativo"
"57","","jose9296perez","@andyvemc pero yo voy a la selección.. sin importar los resultados! Se que no soy peruano pero me causa felicidad verlos jugar","Positivo"
"58","","josephreview","No cayó, bajo a su realidad","Neutro"
"59","","jussmartin_","el cuadro dirigido por Ricardo Gareca? JAJAJAJ andan en malaaas","Negativo"
"60","","andyvemc","@jose9296perez 👍🏼","Neutro"
"61","","mauric_20","Jossmery Toledo y Paolo hurtado no se merecen el #perdón de nadie aquí hubo deseo dinero y prostitución menos amor, Luciana Fuster ganó un premio consuelo similar al miss banano , La Congresista Amuruz debio irse el dia que hizo fiesta de cumpleaños en 2022 en plena tercera ola de coronavirus ahora ya son 2 faltas graves y comprobados de la sinsangre y continua como si nada pasara hagan protestas y saquenla , Adelanto de #Elecciones este 8 de #octubre 2023 y que se vayan todos basta de desperdicio de plata en #peru Despierten DBoluarte se fue a Europa con mas de 40 personas e hizo #historia de despisfarro de dinero llevando personas innecesarias al menos si fuesen solo 7 pasa pero 40 no que su pueblo lo juzgue debio quedarse y terminar de combatir los robos y muertes en todo el pais , Karokg te doy clase con este refran No hay que darle importancia al que no lo merece por ""mi ex tenia razon "" crees que vas a ganar un Grammy con tal falta de dignidad y a los que salen diciendo que Anuel la estaba dale que dale hablando de ella no importa asi sea por años no tienen razon ya que ahora el sujeto debe estar feliz con tal respuesta ahora le doy otra frase a la Bichota y a otras mujeres sufridas ""a palabras necias oidos sordos""","Neutro"
"62","","luisjohnvela","Y eso en qué me favorece. Necesitamos chamba.","Neutro"
"63","","luan.nava","No se olviden del empate contra Paraguay y la derrota contra Brasil, asi como todos los partidos que perdimos en amistosos 😔😔 un desastre este cambio","Negativo"
"64","","carlacavero","JAJAJA es que bien competente es Reynoso, pues!","Positivo"
"65","","paul.espinoza0806","Con Reynoso vamos a llegar al puesto 100. No sorprenderse si Venezuela termine la eliminatoria clasificando y dentro de los primeros 30 puestos.","Neutro"
"66","","crist12118","Cuando ganan ,dixen ganamos, ahora q pierden dicen ""cayo"" 😂","Neutro"
"67","","jhimer.15","No cayó; volvió a la realidad.","Neutro"
"68","","carluchohoyle","Y la de Bolivia y Venezuela, se va a hundir 😂😂😂😂😂😂","Negativo"
"69","","ronaidcastro","Y seguirá cayendo, si sigue jugando así Reynoso","Negativo"
"70","","kevin.minchan","Todavía no sacan a Reynoso? 🤡","Neutro"
"71","","oscarcusinga","Todavía le falta caer más, no se preocupen todavia!!!!","Negativo"
"72","","vituuuxho","REYNOSO Y LA R3C0N$HETUM4R€!!","Negativo"
"73","","gvm2790","Mm","Neutro"
"74","","lozanochaviguri","😂😂😂 RPP sigue pensando en que el equipo lo entrena Gareca, al parecer no hay filtro en las publicaciones, que tal metida de pata, que dirá Oblitas. 😂😂😂","Negativo"
"75","","legaliza.pe","@juanreynoso.dt renuncia oe.","Negativo"
"76","","nietall2496","Vuelve Gareca 🔥","Positivo"
"77","","bersekercoca","Ahora seguiremos bajando más,es obvio que Venezuela y Bolivia nos van a golear.","Negativo"
"78","","carlosadrianaybarescobar","M3di0cr3s ....nunca demostraron nada..","Negativo"
"79","","pepe.pancho89","Cual Ricardo Gareca?!?!? Es Reynoso!! Almenos redacten bien su artículo. No es tan difícil…","Negativo"
"80","","luiscab749","Gracias Reynoso, Perú no sabe a qué juega","Negativo"
"81","","derekportmann","Gracias al genial Reynoso","Positivo"
"82","","betogarridom","¿ Y KE KERIAN?? CON EL DESASTROSO PLAN DE REYNOSO.. Y SEGUIREMOS PWRDIW DO PUNTOS Y BAJARES MÁS PUESTOS SI CONTINUA REYNOSO EL CHOLO TWRCO O LITAS ES SU COMPLISE DE LA CASA DE PERU","Negativo"
"83","","quinonesfarias","Gareca? 😂😂 se pasan.","Neutro"
"84","","cristhian9gc","Ptmr con esr entrenador volveremos alos puestos 40","Negativo"
"85","","joseluiis.xd","No se espera menos de la selección Peruana 😂","Negativo"
"86","","eriiichafio","Por mencionaban a Gareca...si era Reynoso nada que ver xD😂","Neutro"
"87","","clauev3","Inviertan en otros deportes que si la estan haciendo bien!!! 😊😊","Positivo"
"88","","carlosmanuelmiles","Ineptitud y el que lo contrataron","Negativo"
"89","","carlosmanuelmiles","Bótenlo al se rra no ese","Negativo"
"90","","vzam2801","😢","Neutro"
"91","","bob_esponja_1201","Cayò apenas nombraron a reynoso como dt 😂","Neutro"
"92","","abeltasmantraveller","@jujromero oye papu, nadie esperaba que ganasemos ante 🇦🇷, pero no debieron bailarnos. Con 🇧🇷 debimos sacar un empate y con el peor 🇨🇱 al menos unos goles... pero no hay gol, no hay ataque, no hay idea de juego, no hay nada","Negativo"
"93","","nexardiaz","Gracias Reynooso","Positivo"
"94","","aryan.effect_","Es una señal","Neutro"
"95","","chano.106","Gracias Lozano & Reynoso","Positivo"
"96","","denismuchotrigo","A ver si dejan de darle tanta prioridad al fútbol y apoyan a las otras disciplinas que si están trayendo premios internacionales.","Positivo"
"97","","mandyhero14","Ya se sabía","Neutro"
"98","","janramos65","Gracias Reinoso","Positivo"
